handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20574,,,2.5,TRUE,,,InStock,,30.14,,,Forest Green,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5535,,,4.5,TRUE,,,InStock,,33.5,,,Black,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20559,,,4.5,TRUE,,,InStock,,32.14,,,Ash,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5534,,,2.5,TRUE,,,InStock,,32.0,,,Black,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5614,,,2.5,TRUE,,,InStock,,32.0,,,Sport Grey,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21628,,,,TRUE,,,InStock,,28.5,,,Purple,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5554,,,,TRUE,,,InStock,,30.5,,,Dark Chocolate,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_22119,,,,TRUE,,,InStock,,28.5,,,Gold,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20575,,,4.5,TRUE,,,InStock,,32.14,,,Forest Green,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5522,,,,TRUE,,,InStock,,30.5,,,White,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21632,,,4.5,TRUE,,,InStock,,32.14,,,Purple,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_10854,,,4.5,TRUE,,,InStock,,32.14,,,Light Pink,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5595,,,,TRUE,,,InStock,,30.5,,,Navy,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20553,,,,TRUE,,,InStock,,28.14,,,Ash,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_10850,,,,TRUE,,,InStock,,30.5,,,Light Pink,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5559,,,4.5,TRUE,,,InStock,,32.14,,,Dark Chocolate,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_22122,,,2.5,TRUE,,,InStock,,30.14,,,Gold,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5530,,,,TRUE,,,InStock,,30.5,,,Black,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20570,,,,TRUE,,,InStock,,28.14,,,Forest Green,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21629,,,,TRUE,,,InStock,,28.5,,,Purple,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_22120,,,,TRUE,,,InStock,,28.5,,,Gold,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5613,,,,TRUE,,,InStock,,30.5,,,Sport Grey,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Product,Europa Flower Unisex Hoodie,"Flowers do not look at other flowers, they just bloom. <br><br>Disclaimer: This hoodie runs small. For the perfect fit, we recommend ordering one size larger than your usual size.",e13df5_c299935743e24ad2b2c01e935f9b8951~mv2.jpg;e13df5_d50e57cd99ce45f293731e3b446ab857~mv2.jpg;e13df5_2e40654cfe0646ac9d04acf148aa6e56~mv2.jpg;e13df5_cc184a3b89964ce6bb49d2dee9502ec0~mv2.jpg;e13df5_35e77d1c1e1346e48a3581d58257abc7~mv2.jpg;e13df5_9f3a93a67190435db97e91ffa986bef6~mv2.jpg;e13df5_d217adbbc11a45d387147bcf70be25f9~mv2.jpg;e13df5_a193aa3a5abf415b8421eafe1fea4598~mv2.jpg;e13df5_dbe45326007d40a383cd289b9cf36ca7~mv2.jpg;e13df5_9617af438907474292217c13a0163206~mv2.jpg;e13df5_1160bdf209c042e3897059af0d330edb~mv2.jpg;e13df5_0e76989b0fa94053bf47bebc987b945d~mv2.jpg;e13df5_66db7b4d93074cb5ad900e11fc4746ba~mv2.jpg;e13df5_7f9a3c58bca64efb82b9857ec067f01d~mv2.jpg;e13df5_0c336566213645a7baac077ffe9439b2~mv2.jpg;e13df5_5fbfdaf2e2084ac0b4be42034bd66445~mv2.jpg;e13df5_f7d14fc948524001ac55f9fb6a5f8689~mv2.jpg;e13df5_a00b8752d9174395ae9d18d279f37b94~mv2.jpg;e13df5_f425b49b0d15433aa55fff42dac64534~mv2.jpg;e13df5_a05a8b2d989d41418d861846a8327393~mv2.jpg;e13df5_0391b61f76a34b329e7c8c37db82449a~mv2.jpg;e13df5_1f77ba5b3edf42af820e09c2d1b372f8~mv2.jpg;e13df5_94d8d50934fb43cf90ae09697442bb2f~mv2.jpg;e13df5_04e73502ad474042bfdc8b9b1bd6a55e~mv2.jpg;e13df5_0a2dd6e977eb4ea1904d7a7d0d339b80~mv2.jpg;e13df5_1d72770f41b64eab902b6024e572d53f~mv2.jpg;e13df5_4053e4e3186a4e2c9569cd3bdac8c751~mv2.jpg;e13df5_c92939fa4c0a44b3b7161630a7990b35~mv2.jpg;e13df5_5c056ff7301640a89c8f59503eb3cd39~mv2.jpg;e13df5_b162dda7f74441949ab760009dea38a3~mv2.jpg,,,,37.0,,TRUE,PERCENT,0.0,InStock,,,Color,DROP_DOWN,Black;Navy Blazer;Maroon;Charcoal Heather;Vintage Black;Team Royal;Purple;Forest Green;Military Green;White,Size,DROP_DOWN,S;M;L;XL;2XL;3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13893,,,,TRUE,,,InStock,,33.24,,,Military Green,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_16164,,,,TRUE,,,InStock,,33.24,,,Forest Green,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_11485,,,2.0,TRUE,,,InStock,,37.0,,,Charcoal Heather,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13896,,,,TRUE,,,InStock,,33.24,,,Military Green,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_20275,,,,TRUE,,,InStock,,33.24,,,Vintage Black,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13913,,,,TRUE,,,InStock,,33.24,,,Purple,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13915,,,2.0,TRUE,,,InStock,,35.24,,,Purple,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13910,,,4.0,TRUE,,,InStock,,37.24,,,Team Royal,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13908,,,,TRUE,,,InStock,,33.24,,,Team Royal,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_11482,,,,TRUE,,,InStock,,35.5,,,Charcoal Heather,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4fa3c135-0222-43a9-9a55-2d38107b07f6,Variant,,,,,6A61DBD2DC94E_13895,,,,TRUE,,,InStock,,33.24,,,Military Green,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
